ID,Name,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
0x160a,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,2022,Good,809.98,35.03040186,22 Years and 9 Months,No,49.57494921,236.642682,Low_spent_Small_value_payments,186.2667021
0x1616,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,1,5.42,5,Good,605.03,25.9268217,27 Years and 3 Months,No,18.81621457,39.68401842,High_spent_Large_value_payments,485.2984337
0x1622,Langep,35,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,1942,7.1,3,Good,1303.01,35.22970733,18 Years and 5 Months,No,246.9923195,397.5036535,Low_spent_Medium_value_payments,854.226027
0x1624,,35,143162.64,12187.22,1,5,8,1381,"Auto Loan, Auto Loan, and Not Specified",8,5,7.1,5,Good,1303.01_,31.81984543,18 Years and 7 Months,No,246.9923195,841.2322359,Low_spent_Medium_value_payments,410.4974446
0x162e,Jasond,55,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,39.3772194,17 Years and 11 Months,No,16.41545166,69.10700585,High_spent_Medium_value_payments,425.7266258
0x1646,Np,31,73928.46,5988.705,4,5,8,0,,8,7,14.14,4,Good,548.2,38.13542414,32 Years and 7 Months,No,0,56.12102438,High_spent_Large_value_payments,782.7494756
0x1652,Nadiaq,34,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,,9.34,4,Good,352.16,28.4010576,NA,No,911.2201793,324.2286393,High_spent_Medium_value_payments,912.4050886
0x166a,Charlie Zhur,24,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,12,8.24,8,Good,1377.74,41.45901753,22 Years and 0 Months,NM,226.8927919,213.4764872,High_spent_Large_value_payments,784.0174709
0x1676,Jamesj,45,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",3,0,-0.24,5,Good,421.43,40.63313117,27 Years and 1 Months,No,46.61612907,161.5833767,!@9#%8,364.3238276
0x168e,Soyoungd,33,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,36.01489802,NA,No,135.173371,77.84134311,High_spent_Large_value_payments,753.6539526
0x1706,Lee Chyenz,42,10183.015_,1074.584583,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",45,23,7.97,8,Bad,1672.43,34.7080638,10 Years and 9 Months,Yes,37.58807284,52.05337931,!@9#%8,297.8170062
0x1712,Nickb,20,106733.13,8873.4275,4,4,1,0,,3,6,0.86,1,Good,76.23,29.67145671,33 Years and 5 Months,No,0,357.1133611,Low_spent_Medium_value_payments,810.2293889
0x172a,Rickt,34,57983.12,4720.926667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",49,,7.27,17,Bad,3532.83,36.79142054,12 Years and 10 Months,Yes,200.4326134,172.3887516,High_spent_Small_value_payments,359.2713017
0x1766,Sarahb,38,39641.54,3007.461667,10,211,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,1.54,8,Bad,2258.73,32.7759366,9 Years and 4 Months,Yes,172.3825274,159.881232,Low_spent_Small_value_payments,258.4824073
0x17bb,ra Alperx,16,29469.98,2227.831667,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",49,21,26.94,12,Bad,3421.66,32.59207554,13 Years and 11 Months,Yes,69.68545857,31.60260521,High_spent_Large_value_payments,361.4951029
